FECHA,Tipo de Cambio GTQ/USD,Superior GTQ/GALON,Regular GTQ/GALON,Diesel GTQ/GALON,Bunker GTQ/GALON,Glp Cilindro 25Lbs. GTQ/CIL 25 LB GTQ/CIL 25 LB,Glp Cilindro 25Lbs. GTQ/LB
2024-01-01 00:00:00,7.82702,30.44,28.95,29.47,18.99,115,4.6
2024-01-02 00:00:00,7.82481,30.44,28.95,29.47,18.99,115,4.6
2024-01-03 00:00:00,7.82445,30.47,28.97,29.48,18.99,115,4.6
2024-01-04 00:00:00,7.82409,30.47,28.97,29.48,18.99,115,4.6
2024-01-05 00:00:00,7.82322,30.47,28.97,29.48,18.99,115,4.6
2024-01-06 00:00:00,7.82322,30.47,28.97,29.48,18.99,115,4.6
2024-01-07 00:00:00,7.82322,30.47,28.97,29.48,18.99,115,4.6
2024-01-08 00:00:00,7.81941,30.47,28.97,29.48,18.99,115,4.6
2024-01-09 00:00:00,7.81686,30.47,28.97,29.48,18.99,115,4.6
2024-01-10 00:00:00,7.82016,30.47,28.97,29.48,18.99,115,4.6
2024-01-11 00:00:00,7.81767,30.47,28.97,29.48,18.99,115,4.6
2024-01-12 00:00:00,7.82083,30.47,28.97,29.48,18.99,115,4.6
2024-01-13 00:00:00,7.82083,30.47,28.97,29.48,18.99,115,4.6
2024-01-14 00:00:00,7.82083,30.47,28.97,29.48,18.99,115,4.6
2024-01-15 00:00:00,7.81224,30.29,28.79,28.55,18.49,115,4.6
2024-01-16 00:00:00,7.81402,30.29,28.79,28.55,18.49,115,4.6
2024-01-17 00:00:00,7.81651,30.29,28.79,28.55,18.49,115,4.6
2024-01-18 00:00:00,7.81988,30.29,28.79,28.55,18.49,115,4.6
2024-01-19 00:00:00,7.81782,30.29,28.79,28.55,18.49,115,4.6
2024-01-20 00:00:00,7.81782,30.29,28.79,28.55,18.49,115,4.6
2024-01-21 00:00:00,7.81782,30.29,28.79,28.55,18.49,115,4.6
2024-01-22 00:00:00,7.81494,30.9,29.39,29.11,17.99,115,4.6
2024-01-23 00:00:00,7.81473,30.9,29.39,29.11,17.99,115,4.6
2024-01-24 00:00:00,7.81578,30.9,29.39,29.11,17.99,115,4.6
2024-01-25 00:00:00,7.8187,30.9,29.39,29.11,17.99,115,4.6
2024-01-26 00:00:00,7.81541,30.9,29.39,29.11,17.99,115,4.6
2024-01-27 00:00:00,7.81541,30.9,29.39,29.11,17.99,115,4.6
2024-01-28 00:00:00,7.81541,30.9,29.39,29.11,17.99,115,4.6
2024-01-29 00:00:00,7.81382,30.97,29.48,29.19,17.99,115,4.6
2024-01-30 00:00:00,7.81142,30.97,29.48,29.19,17.99,115,4.6
2024-01-31 00:00:00,7.81454,30.97,29.48,29.19,17.99,115,4.6
2024-02-01 00:00:00,7.81252,30.97,29.48,29.19,17.99,115,4.6
2024-02-02 00:00:00,7.81323,30.97,29.48,29.19,17.99,115,4.6
2024-02-03 00:00:00,7.81323,30.97,29.48,29.19,17.99,115,4.6
2024-02-04 00:00:00,7.81323,30.97,29.48,29.19,17.99,115,4.6
2024-02-05 00:00:00,7.81166,31.46,29.96,30.44,17.99,115,4.6
2024-02-06 00:00:00,7.81149,31.46,29.96,30.44,17.99,115,4.6
2024-02-07 00:00:00,7.81172,31.46,29.96,30.44,17.99,115,4.6
2024-02-08 00:00:00,7.81098,31.46,29.96,30.44,17.99,115,4.6
2024-02-09 00:00:00,7.80938,31.46,29.96,30.44,17.99,115,4.6
2024-02-10 00:00:00,7.80938,31.46,29.96,30.44,17.99,115,4.6
2024-02-11 00:00:00,7.80938,31.46,29.96,30.44,17.99,115,4.6
2024-02-12 00:00:00,7.80661,31.47,29.97,30.47,17.49,115,4.6
2024-02-13 00:00:00,7.80679,31.47,29.97,30.47,17.49,115,4.6
2024-02-14 00:00:00,7.8062,31.47,29.97,30.47,17.49,115,4.6
2024-02-15 00:00:00,7.80652,31.47,29.97,30.47,17.49,115,4.6
2024-02-16 00:00:00,7.81128,31.47,29.97,30.47,17.49,115,4.6
2024-02-17 00:00:00,7.81128,31.47,29.97,30.47,17.49,115,4.6
2024-02-18 00:00:00,7.81128,31.47,29.97,30.47,17.49,115,4.6
2024-02-19 00:00:00,7.8033,31.97,30.48,30.98,17.69,115,4.6
2024-02-20 00:00:00,7.81046,31.97,30.48,30.98,17.69,115,4.6
2024-02-21 00:00:00,7.81151,31.97,30.48,30.98,17.69,115,4.6
2024-02-22 00:00:00,7.81327,31.97,30.48,30.98,17.69,115,4.6
2024-02-23 00:00:00,7.81274,31.97,30.48,30.98,17.69,115,4.6
2024-02-24 00:00:00,7.81274,31.97,30.48,30.98,17.69,115,4.6
2024-02-25 00:00:00,7.81274,31.97,30.48,30.98,17.69,115,4.6
2024-02-26 00:00:00,7.80942,32.45,30.95,30.97,17.89,115,4.6
2024-02-27 00:00:00,7.81045,32.45,30.95,30.97,17.89,115,4.6
2024-02-28 00:00:00,7.81473,32.45,30.95,30.97,17.89,115,4.6
2024-02-29 00:00:00,7.81768,32.45,30.95,30.97,17.89,115,4.6
2024-03-01 00:00:00,7.81835,32.45,30.95,30.97,17.89,115,4.6
2024-03-02 00:00:00,7.81835,32.45,30.95,30.97,17.89,115,4.6
2024-03-03 00:00:00,7.81835,32.45,30.95,30.97,17.89,115,4.6
2024-03-04 00:00:00,7.80899,32.89,31.4,30.7,18.09,115,4.6
2024-03-05 00:00:00,7.80618,32.89,31.4,30.7,18.09,115,4.6
2024-03-06 00:00:00,7.81174,32.89,31.4,30.7,18.09,115,4.6
2024-03-07 00:00:00,7.80744,32.89,31.4,30.7,18.09,115,4.6
2024-03-08 00:00:00,7.80954,32.89,31.4,30.7,18.09,115,4.6
2024-03-09 00:00:00,7.80954,32.89,31.4,30.7,18.09,115,4.6
2024-03-10 00:00:00,7.80954,32.89,31.4,30.7,18.09,115,4.6
2024-03-11 00:00:00,7.80453,33.42,31.92,30.15,18.29,115,4.6
2024-03-12 00:00:00,7.80502,33.42,31.92,30.15,18.29,115,4.6
2024-03-13 00:00:00,7.80439,33.42,31.92,30.15,18.29,115,4.6
2024-03-14 00:00:00,7.80143,33.42,31.92,30.15,18.29,115,4.6
2024-03-15 00:00:00,7.80777,33.42,31.92,30.15,18.29,115,4.6
2024-03-16 00:00:00,7.80777,33.42,31.92,30.15,18.29,115,4.6
2024-03-17 00:00:00,7.80777,33.42,31.92,30.15,18.29,115,4.6
2024-03-18 00:00:00,7.80118,34.46,32.96,29.56,18.89,115,4.6
2024-03-19 00:00:00,7.79934,34.46,32.96,29.56,18.89,115,4.6
2024-03-20 00:00:00,7.79631,34.46,32.96,29.56,18.89,115,4.6
2024-03-21 00:00:00,7.79873,34.46,32.96,29.56,18.89,115,4.6
2024-03-22 00:00:00,7.80164,34.46,32.96,29.56,18.89,115,4.6
2024-03-23 00:00:00,7.80164,34.46,32.96,29.56,18.89,115,4.6
2024-03-24 00:00:00,7.80164,34.46,32.96,29.56,18.89,115,4.6
2024-03-25 00:00:00,7.79277,34.95,33.4,29.48,19.59,115,4.6
2024-03-26 00:00:00,7.79012,34.95,33.4,29.48,19.59,115,4.6
2024-03-27 00:00:00,7.79165,34.95,33.4,29.48,19.59,115,4.6
2024-03-28 00:00:00,7.79165,34.95,33.4,29.48,19.59,115,4.6
2024-03-29 00:00:00,7.79165,34.95,33.4,29.48,19.59,115,4.6
2024-03-30 00:00:00,7.79165,34.95,33.4,29.48,19.59,115,4.6
2024-03-31 00:00:00,7.79165,34.95,33.4,29.48,19.59,115,4.6
2024-04-01 00:00:00,7.79234,34.98,33.48,29.48,17.89,115,4.6
2024-04-02 00:00:00,7.78814,34.98,33.48,29.48,17.89,115,4.6
2024-04-03 00:00:00,7.79092,34.98,33.48,29.48,17.89,115,4.6
2024-04-04 00:00:00,7.78751,34.98,33.48,29.48,17.89,115,4.6
2024-04-05 00:00:00,7.7854,34.98,33.48,29.48,17.89,115,4.6
2024-04-06 00:00:00,7.7854,34.98,33.48,29.48,17.89,115,4.6
2024-04-07 00:00:00,7.7854,34.98,33.48,29.48,17.89,115,4.6
2024-04-08 00:00:00,7.78505,35.64,34.14,30.21,19.59,115,4.6
