FECHA,Tipo de Cambio GTQ/USD,Superior GTQ/GALON,Regular GTQ/GALON,Diesel GTQ/GALON,Bunker GTQ/GALON,Glp Cilindro 25Lbs. GTQ/CIL 25 LB GTQ/CIL 25 LB,Glp Cilindro 25Lbs. GTQ/LB
2022-01-01 00:00:00,7.71912,28.69,27.91,24.51,17.28,122,4.88
2022-01-02 00:00:00,7.71912,28.69,27.91,24.51,17.28,122,4.88
2022-01-03 00:00:00,7.71912,28.79,27.99,24.6,17.91,122,4.88
2022-01-04 00:00:00,7.71745,28.79,27.99,24.6,17.91,122,4.88
2022-01-05 00:00:00,7.71558,28.79,27.99,24.6,17.91,122,4.88
2022-01-06 00:00:00,7.71823,28.79,27.99,24.6,17.91,122,4.88
2022-01-07 00:00:00,7.71343,28.79,27.99,24.6,17.91,122,4.88
2022-01-08 00:00:00,7.71343,28.79,27.99,24.6,17.91,122,4.88
2022-01-09 00:00:00,7.71343,28.79,27.99,24.6,17.91,122,4.88
2022-01-10 00:00:00,7.71101,29.65,28.85,25.46,18.55,122,4.88
2022-01-11 00:00:00,7.70832,29.65,28.85,25.46,18.55,122,4.88
2022-01-12 00:00:00,7.70898,29.65,28.85,25.46,18.55,122,4.88
2022-01-13 00:00:00,7.7062,29.65,28.85,25.46,18.55,122,4.88
2022-01-14 00:00:00,7.70777,29.65,28.85,25.46,18.55,122,4.88
2022-01-15 00:00:00,7.70777,29.65,28.85,25.46,18.55,122,4.88
2022-01-16 00:00:00,7.70777,29.65,28.85,25.46,18.55,122,4.88
2022-01-17 00:00:00,7.70046,30.49,29.69,26.49,18.97,122,4.88
2022-01-18 00:00:00,7.70453,30.49,29.69,26.49,18.97,122,4.88
2022-01-19 00:00:00,7.69958,30.49,29.69,26.49,18.97,122,4.88
2022-01-20 00:00:00,7.69537,30.49,29.69,26.49,18.97,122,4.88
2022-01-21 00:00:00,7.69195,30.49,29.69,26.49,18.97,122,4.88
2022-01-22 00:00:00,7.69195,30.49,29.69,26.49,18.97,122,4.88
2022-01-23 00:00:00,7.69195,30.49,29.69,26.49,18.97,122,4.88
2022-01-24 00:00:00,7.68855,31.49,30.69,27.49,19.55,122,4.88
2022-01-25 00:00:00,7.68581,31.49,30.69,27.49,19.55,122,4.88
2022-01-26 00:00:00,7.68541,31.49,30.69,27.49,19.55,122,4.88
2022-01-27 00:00:00,7.68649,31.49,30.69,27.49,19.55,122,4.88
2022-01-28 00:00:00,7.68995,31.49,30.69,27.49,19.55,122,4.88
2022-01-29 00:00:00,7.68995,31.49,30.69,27.49,19.55,122,4.88
2022-01-30 00:00:00,7.68995,31.49,30.69,27.49,19.55,122,4.88
2022-01-31 00:00:00,7.68981,31.5,30.69,27.98,19.85,122,4.88
2022-02-01 00:00:00,7.68555,31.5,30.69,27.98,19.85,122,4.88
2022-02-02 00:00:00,7.69221,31.5,30.69,27.98,19.85,122,4.88
2022-02-03 00:00:00,7.69189,31.5,30.69,27.98,19.85,122,4.88
2022-02-04 00:00:00,7.69495,31.5,30.69,27.98,19.85,122,4.88
2022-02-05 00:00:00,7.69495,31.5,30.69,27.98,19.85,122,4.88
2022-02-06 00:00:00,7.69495,31.5,30.69,27.98,19.85,122,4.88
2022-02-07 00:00:00,7.69122,32.19,32.39,28.58,20.3,122,4.88
2022-02-08 00:00:00,7.6886,32.19,32.39,28.58,20.3,122,4.88
2022-02-09 00:00:00,7.69229,32.19,32.39,28.58,20.3,122,4.88
2022-02-10 00:00:00,7.69531,32.19,32.39,28.58,20.3,122,4.88
2022-02-11 00:00:00,7.69226,32.19,32.39,28.58,20.3,122,4.88
