FECHA,Tipo de Cambio GTQ/USD,Superior GTQ/GALON,Regular GTQ/GALON,Diesel GTQ/GALON,Bunker GTQ/GALON,Glp Cilindro 25Lbs. GTQ/CIL 25 LB GTQ/CIL 25 LB,Glp Cilindro 25Lbs. GTQ/LB
2023-01-01 00:00:00,7.85222,32.55,30.99,33.75,15.99,122,4.88
2023-01-02 00:00:00,7.85222,32.55,30.99,33.75,15.99,122,4.88
2023-01-03 00:00:00,7.84773,32.56,31.42,35.31,16.39,122,4.88
2023-01-04 00:00:00,7.84906,32.56,31.42,35.31,16.39,122,4.88
2023-01-05 00:00:00,7.85221,32.56,31.42,35.31,16.39,122,4.88
2023-01-06 00:00:00,7.84856,32.56,31.42,35.31,16.39,122,4.88
2023-01-07 00:00:00,7.84856,32.56,31.42,35.31,16.39,122,4.88
2023-01-08 00:00:00,7.84856,32.56,31.42,35.31,16.39,122,4.88
2023-01-09 00:00:00,7.84628,33,31.6,35.98,16.39,122,4.88
2023-01-10 00:00:00,7.84395,33,31.6,35.98,16.39,122,4.88
2023-01-11 00:00:00,7.8488,33,31.6,35.98,16.39,122,4.88
2023-01-12 00:00:00,7.85,33,31.6,35.98,16.39,122,4.88
2023-01-13 00:00:00,7.84942,33,31.6,35.98,16.39,122,4.88
2023-01-14 00:00:00,7.84942,33,31.6,35.98,16.39,122,4.88
2023-01-15 00:00:00,7.84942,33,31.6,35.98,16.39,122,4.88
2023-01-16 00:00:00,7.84319,33.96,32.58,35.96,15.99,122,4.88
2023-01-17 00:00:00,7.84762,33.96,32.58,35.96,15.99,122,4.88
2023-01-18 00:00:00,7.84834,33.96,32.58,35.96,15.99,122,4.88
2023-01-19 00:00:00,7.85007,33.96,32.58,35.96,15.99,122,4.88
2023-01-20 00:00:00,7.85078,33.96,32.58,35.96,15.99,122,4.88
2023-01-21 00:00:00,7.85078,33.96,32.58,35.96,15.99,122,4.88
2023-01-22 00:00:00,7.85078,33.96,32.58,35.96,15.99,122,4.88
